# m=1, k=39.4784, p=2
# x0=0, v0=1
# t_start=0, t_end=50, h=0.001, b=20
#   t          x(t)               v(t)               KE(t)              PE(x(t)) 
0.0000  0.000000000000000e+00  1.000000000000000e+00  5.000000000000000e-01  0.000000000000000e+00  5.000000000000000e-01
0.0100  9.057503966643789e-03  8.170018692846138e-01  3.337460272072766e-01  1.619372675221841e-03  4.026759536958311e-01
0.0200  1.644076290571692e-02  6.642533090641097e-01  2.206162293013098e-01  5.335482180629626e-03  3.335204395900094e-01
0.0300  2.242685651280393e-02  5.368173741957974e-01  1.440864466192354e-01  9.928109304789622e-03  2.784189631987466e-01
0.0400  2.724763602576182e-02  4.305614942413604e-01  9.269160016167649e-02  1.465505321400849e-02  2.342089636298152e-01
0.0500  3.109709343630947e-02  3.420264470071248e-01  5.849104522615878e-02  1.908839169507060e-02  1.984852662744477e-01
0.0600  3.413753031025657e-02  2.683166746288916e-01  3.599691894195325e-02  2.300350102101901e-02  1.694112047179195e-01
0.0700  3.650472174493907e-02  2.070084657866196e-01  2.142625245366504e-02  2.630436522296199e-02  1.455781888154882e-01
0.0800  3.831223914344134e-02  1.560730938953361e-01  1.217940531903121e-02  2.897375682790378e-02  1.259010339749052e-01
0.0900  3.965506882396862e-02  1.138124751434477e-01  6.476639749138946e-03  3.104038912503579e-02  1.095397407847831e-01
0.1000  4.061264116427028e-02  7.880530706217642e-02  3.105138210581956e-03  3.255758693384574e-02  9.584087952452698e-02
0.1100  4.125136629792750e-02  4.986198048699066e-02  1.243108549042518e-03  3.358972250961213e-02  8.429353798704026e-02
0.1200  4.162675673945582e-02  2.598683584186851e-02  3.376578185361108e-04  3.420384196778713e-02  7.449611283250715e-02
0.1300  4.178520422283229e-02  6.346567453354785e-03  2.013945921999112e-05  3.446472354897011e-02  6.613119468466801e-02
0.1400  4.176546707828314e-02  -9.756225538593909e-03  4.759196837995601e-05  3.443217257359916e-02  5.894651014221898e-02
0.1500  4.159991529759265e-02  -2.290517998601894e-02  2.623236350959612e-04  3.415974607789243e-02  5.274040879169293e-02
0.1600  4.131557275803457e-02  -3.358870301774518e-02  5.641004852071420e-04  3.369436658675543e-02  4.735077045082088e-02
0.1700  4.093498964586223e-02  -4.221548725888203e-02  8.910736822524155e-04  3.307646667891187e-02  4.264649392866347e-02
0.1800  4.047697273835303e-02  -4.912749875179368e-02  1.206755566803745e-03  3.234042997059430e-02  3.852094036317273e-02
0.1900  3.995719669810845e-02  -5.461084924308691e-02  1.491172427525583e-03  3.151517798306074e-02  3.488686129573482e-02
0.2000  3.938871576186823e-02  -5.890489744652755e-02  1.734893471592964e-03  3.062480862532982e-02  3.167245842926760e-02
0.2100  3.878239204897253e-02  -6.220986775945686e-02  1.935033823324555e-03  2.968922941819483e-02  2.881830902893271e-02
0.2200  3.814725407173371e-02  -6.469322792113921e-02  2.092606869428233e-03  2.872475312468286e-02  2.627495590442904e-02
0.2300  3.749079681759676e-02  -6.649502776623127e-02  2.210794358815934e-03  2.774463928451385e-02  2.400100955726803e-02
0.2400  3.681923292095186e-02  -6.773236829850202e-02  2.293836857661961e-03  2.675957512839073e-02  2.196164658465679e-02
0.2500  3.613770289211547e-02  -6.850314274540856e-02  2.346340282998910e-03  2.577809542629775e-02  2.012741590418855e-02
0.2600  3.545045107318085e-02  -6.888916817950019e-02  2.372858746231731e-03  2.480694433512034e-02  1.847328509390407e-02
0.2700  3.476097290401983e-02  -6.895880697653504e-02  2.377658529813509e-03  2.385138415870408e-02  1.697787483006927e-02
0.2800  3.407213817226216e-02  -6.876916121043838e-02  2.364598766793632e-03  2.291545672675362e-02  1.562284131224535e-02
0.2900  3.338629415976150e-02  -6.836790954931068e-02  2.337085528071364e-03  2.200220324422587e-02  1.439237563093783e-02
0.3000  3.270535196074864e-02  -6.779484488559290e-02  2.298070496530801e-03  2.111384822846638e-02  1.327279595748731e-02
0.3100  3.203085871337284e-02  -6.708316144807901e-02  2.250075274934517e-03  2.025195271183827e-02  1.225221374216587e-02
0.3200  3.136405803973362e-02  -6.626053220309652e-02  2.195229063918796e-03  1.941754135427868e-02  1.132025918661111e-02
0.3300  3.070594061565068e-02  -6.535001070518508e-02  2.135311949583902e-03  1.861120755201853e-02  1.046785440505662e-02
0.3400  3.005728647846222e-02  -6.437078599331886e-02  2.071799044698828e-03  1.783320008651851e-02  9.687025126820521e-03
0.3500  2.941870041916073e-02  -6.333881447078157e-02  2.005902709282045e-03  1.708349435410048e-02  8.970743687370022e-03
0.3600  2.879064158586783e-02  -6.226734880758105e-02  1.938611363762483e-03  1.636185076265808e-02  8.312797533490122e-03
0.3700  2.817344824206465e-02  -6.116738064020054e-02  1.870724227191590e-03  1.566786248076605e-02  7.707678625638854e-03
0.3800  2.756735846931299e-02  -6.004801111107021e-02  1.802881819197606e-03  1.500099437563318e-02  7.150490030514488e-03
0.3900  2.697252747555403e-02  -5.891676100280260e-02  1.735592363530681e-03  1.436061467634729e-02  6.636866714940245e-03
0.4000  2.638904206237834e-02  -5.777983030747363e-02  1.669254395180224e-03  1.374602064318928e-02  6.162908121065441e-03
0.4100  2.581693271450990e-02  -5.664231546835781e-02  1.604175950808483e-03  1.315645930743004e-02  5.725120555360224e-03
0.4200  2.525618369928014e-02  -5.550839118974048e-02  1.540590746236629e-03  1.259114416395829e-02  5.320367785187665e-03
0.4300  2.470674150069466e-02  -5.438146258720296e-02  1.478671736561678e-03  1.204926854658414e-02  4.945828526381911e-03
0.4400  2.416852185981150e-02  -5.326429251050918e-02  1.418542428322542e-03  1.153001628859987e-02  4.598959738372230e-03
0.4500  2.364141564888083e-02  -5.215910808411179e-02  1.360286278065028e-03  1.103257016530945e-02  4.277464831737738e-03
0.4600  2.312529376963797e-02  -5.106768985139575e-02  1.303954473379174e-03  1.055611852739145e-02  3.979266045844616e-03
0.4700  2.262001123511969e-02  -4.999144635720365e-02  1.249572354442585e-03  1.009986046122616e-02  3.702480378602717e-03
0.4800  2.212541056840560e-02  -4.893147654145746e-02  1.197144698263601e-03  9.663009752206622e-03  3.445398552038203e-03
0.4900  2.164132462994806e-02  -4.788862193017236e-02  1.146660055185493e-03  9.244797877451846e-03  3.206466580775518e-03
0.5000  2.116757896695668e-02  -4.686351028659762e-02  1.098094298191020e-03  8.844476213464195e-03  2.984269579187206e-03
0.5100  2.070399376307069e-02  -4.585659211436361e-02  1.051413520171557e-03  8.461317610627545e-03  2.777517499710084e-03
0.5200  2.025038545380075e-02  -4.486817117777713e-02  1.006576392419155e-03  8.094617458774945e-03  2.585032541876241e-03
0.5300  1.980656806254771e-02  -4.389843001460275e-02  9.635360788734879e-04  7.743694345323651e-03  2.405738010757974e-03
0.5400  1.937235430307025e-02  -4.294745125778104e-02  9.222417847697390e-04  7.407890388814359e-03  2.238648436211718e-03
